17-068048-FC01,3/6/2018,DeKalb,"4032 Emerald North Drive Decatur, Georgia",30035,"Mortgage Electronic Registration Systems, Inc., as nominee for Taylor, Bean & Whitaker Mortgage Corp., its successors and assigns",11/26/2008,125152,,Altisource,,,,,
17-068051-FC01,3/6/2018,DeKalb,"782 Bristol Way Lithonia, Georgia",30058,Bank of America N.A.,1/10/2008,151698,,Auction.com,,,,,
18-068080-FC01,3/6/2018,DeKalb,"2800 Parkway Cove Lithonia, Georgia",30058,"Mortgage Electronic Registration Systems, Inc., as nominee for American Mortgage Services, Inc., its successors and assigns",11/15/2005,117653,,Chronos Solutions,,,,,
17-067912-FC01,3/6/2018,DeKalb,"7265 Flint Way Lithonia, Georgia",30038,"Mortgage Electronic Registration Systems, Inc., as nominee for Pine State Mortgage Corporation, its successors and assigns",10/10/2008,223014,,,,,,,
17-068003-FC01,3/6/2018,DeKalb,"5443 Wellborn Creek Drive Lithonia, Georgia",30058,"Mortgage Electronic Registration Systems, Inc., as nominee for Countrywide Bank, FSB, its successors and assigns",2/25/2008,102312,,Chronos Solutions,,,,,
17-067950-FC01,3/6/2018,DeKalb,"5741 Wind Gate Lane Lithonia, Georgia",30058,"Mortgage Electronic Registration Systems, Inc. as nominee for Opteum Financial Services, LLC, its successors and assigns",6/3/2005,74130,,,,,,,
16-060229-FC03,3/6/2018,Douglas,"6795 John Clark Drive Douglasville, Georgia",30134,"JPMorgan Chase Bank, N.A.",6/8/2009,116032,,Auction.com,,,,,
09-012303-FC02,3/6/2018,Douglas,"2095 W Lotus Point Drive Lithia Springs, Georgia",30122,"Mortgage Electronic Registration Systems, Inc. as nominee for Home America Mortgage, Inc.",7/28/2003,140025,,Auction.com,,,,,
13-043428-FC02,3/6/2018,Douglas,"3162 Bertha's Overlook Douglasville, Georgia",30135,"Mortgage Electronic Registration Systems, Inc. as nominee for Sun America Mortgage, its successors and assigns",10/29/2004,146900,,,,,,,
13-042844-FC08,3/6/2018,Effingham,"720 Old Dixie Highway South Springfield, Georgia",31329,"Wells Fargo Bank, N.A.",8/29/2006,462000,,,,,,,
17-067930-FC01,3/6/2018,Effingham,"163 Sweet Gum Drive Springfield, Georgia",31329,"Mortgage Electronic Registration Systems, Inc. as nominee for AmeriBank Mortgage Company, LLC, its successors and assigns",1/22/2009,150396,,Chronos Solutions,,,,,
12-031432-FC02,3/6/2018,Emanuel,"482 Hawhammock Church Road Swainsboro, Georgia",30401,"Mortgage Electronic Registration Systems, Inc. as nominee for PrimeSouth Mortgage, its successors and assigns",8/29/2007,193000,,Auction.com,,,,,
17-067837-FC01,3/6/2018,Fannin,"1860 Highway 2 Blue Ridge, Georgia",30513,"Mortgage Electronic Registration Systems, Inc. as nominee for Home Loan Center Inc., DBA Lendingtree Loans, A California Corporation, its successors and assigns",2/9/2009,140008,,ServiceLink Auction,,,,,
17-068030-FC01,3/6/2018,Fayette,"130 Pine Trail Fayetteville, Georgia",30214,First Union National Bank,2/7/2001,100000,,,,,,,
17-068038-FC01,3/6/2018,Forsyth,"6450 Countryland Drive Dawsonville, Georgia",30534,"Mortgage Electronic Registration Systems, Inc., as nominee for Proficio Mortgage Ventures, LLC, its successors and assigns",12/2/2009,185204,,Chronos Solutions,,,,,
17-068056-FC01,3/6/2018,Forsyth,"7825 Silver Creek Road Dawsonville, Georgia",30534,"Mortgage Electronic Registration Systems, Inc. as nominee for American Equity Mortgage, Inc., its successors and assigns",7/29/2011,219128,,Altisource,,,,,
